"","partido","proMercado","fundamentalismo","microGap_proMercado","microGap_fundamentalismo","base","ano"
"145","PT",0.444444444444444,0.345430870863651,0.148412698412698,0.0544452454237508,"Público","Out 2018-2019"
"146","PT",0,0.110337680128607,0.592857142857143,0.180647945311293,"Público","Out 2018-2019"
"147","MDB",0,0.779324639742786,0.592857142857143,0.488339014302886,"Público","Out 2018-2019"
"148","PT",0.444444444444444,0.220675360257214,0.148412698412698,0.0703102651826862,"Público","Out 2018-2019"
"149","PSL",0.777777777777778,0.83449347980709,0.184920634920635,0.54350785436719,"Público","Out 2018-2019"
"150","PSL",0.222222222222222,0.779324639742786,0.370634920634921,0.488339014302886,"Público","Out 2018-2019"
"151","PT",0.222222222222222,0.779324639742786,0.370634920634921,0.488339014302886,"Público","Out 2018-2019"
"152","PT",0,0.433893768879135,0.592857142857143,0.142908143439235,"Público","Out 2018-2019"
"153","PT",1,0.944831159935696,0.407142857142857,0.653845534495796,"Público","Out 2018-2019"
"154","PSL",0,1,0.592857142857143,0.7090143745601,"Público","Out 2018-2019"
"155","PT",0,0.599400289072046,0.592857142857143,0.308414663632146,"Público","Out 2018-2019"
"156","PT",0.111111111111111,0.345430870863651,0.481746031746032,0.0544452454237508,"Público","Out 2018-2019"
"157","PT",0.888888888888889,0.16550652019291,0.296031746031746,0.12547910524699,"Público","Out 2018-2019"
"158","PT",0.555555555555556,0.220675360257214,0.0373015873015873,0.0703102651826862,"Público","Out 2018-2019"
"159","MDB",0.444444444444444,0.0551688400643034,0.148412698412698,0.235816785375597,"Público","Out 2018-2019"
"160","PT",0.444444444444444,0.944831159935696,0.148412698412698,0.653845534495796,"Público","Out 2018-2019"
"161","PT",0.111111111111111,0.621275071185168,0.481746031746032,0.330289445745268,"Público","Out 2018-2019"
"162","PT",0.444444444444444,0.621275071185168,0.148412698412698,0.330289445745268,"Público","Out 2018-2019"
"163","MDB",0.444444444444444,0.944831159935696,0.148412698412698,0.653845534495796,"Público","Out 2018-2019"
"164","PT",0.444444444444444,0.944831159935696,0.148412698412698,0.653845534495796,"Público","Out 2018-2019"
"165","PT",0,1,0.592857142857143,0.7090143745601,"Público","Out 2018-2019"
"166","PT",1,0.510937391056561,0.407142857142857,0.219951765616661,"Público","Out 2018-2019"
"167","PT",0.333333333333333,0.400599710927954,0.25952380952381,0.109614085488054,"Público","Out 2018-2019"
"168","PT",0,0.400599710927954,0.592857142857143,0.109614085488054,"Público","Out 2018-2019"
"169","PT",0.555555555555556,1,0.0373015873015873,0.7090143745601,"Público","Out 2018-2019"
"170","PT",0.888888888888889,1,0.296031746031746,0.7090143745601,"Público","Out 2018-2019"
"171","PT",0.444444444444444,0.566106231120865,0.148412698412698,0.275120605680965,"Público","Out 2018-2019"
"172","PT",0.444444444444444,0.220675360257214,0.148412698412698,0.0703102651826862,"Público","Out 2018-2019"
"173","PT",1,0.0551688400643034,0.407142857142857,0.235816785375597,"Público","Out 2018-2019"
"174","PT",0.222222222222222,0.220675360257214,0.370634920634921,0.0703102651826862,"Público","Out 2018-2019"
"175","MDB",0.333333333333333,1,0.25952380952381,0.7090143745601,"Público","Out 2018-2019"
"176","PT",0.222222222222222,0.510937391056561,0.370634920634921,0.219951765616661,"Público","Out 2018-2019"
"177","MDB",1,0.345430870863651,0.407142857142857,0.0544452454237508,"Público","Out 2018-2019"
"178","PT",0.444444444444444,0.455768550992258,0.148412698412698,0.164782925552358,"Público","Out 2018-2019"
