"","partido","microGap","Dimensão","Período"
"250","PT",0.0974579982306379,"Liberal / Fundamentalismo adaptado","2017-2018"
"251","PT",0.295282077667868,"Liberal / Fundamentalismo adaptado","2017-2018"
"252","PT",0.111497973480704,"Liberal / Fundamentalismo adaptado","2017-2018"
"253","PT",0.301922139799219,"Liberal / Fundamentalismo adaptado","2017-2018"
"254","PT",0.179001765886683,"Liberal / Fundamentalismo adaptado","2017-2018"
"255","PT",0.458516207350992,"Liberal / Fundamentalismo adaptado","2017-2018"
"256","PT",0.630373134575864,"Liberal / Fundamentalismo adaptado","2017-2018"
"257","PT",0.0262953633120308,"Liberal / Fundamentalismo adaptado","2017-2018"
"258","PT",0.363369155630423,"Liberal / Fundamentalismo adaptado","2017-2018"
"259","PT",0.630373134575864,"Liberal / Fundamentalismo adaptado","2017-2018"
"260","PT",0.159368047497511,"Liberal / Fundamentalismo adaptado","2017-2018"
"261","PMDB",0.19406193161214,"Liberal / Fundamentalismo adaptado","2017-2018"
"262","PSDB",0.123919487168925,"Liberal / Fundamentalismo adaptado","2017-2018"
"263","PT",0.630373134575864,"Liberal / Fundamentalismo adaptado","2017-2018"
"264","PSDB",0.00714483866181126,"Liberal / Fundamentalismo adaptado","2017-2018"
"265","PSDB",0.47377906702409,"Liberal / Fundamentalismo adaptado","2017-2018"
"266","PT",0.248371961199361,"Liberal / Fundamentalismo adaptado","2017-2018"
"267","PT",0.186763365467246,"Liberal / Fundamentalismo adaptado","2017-2018"
"268","PT",0.645635994248962,"Liberal / Fundamentalismo adaptado","2017-2018"
"269","PT",0.20677508807865,"Liberal / Fundamentalismo adaptado","2017-2018"
"270","PT",0.00423035603416538,"Liberal / Fundamentalismo adaptado","2017-2018"
"271","PT",0.191512228405551,"Liberal / Fundamentalismo adaptado","2017-2018"
"272","PT",0.47377906702409,"Liberal / Fundamentalismo adaptado","2017-2018"
"273","PT",0.645635994248962,"Liberal / Fundamentalismo adaptado","2017-2018"
"274","PT",0.554058836210373,"Liberal / Fundamentalismo adaptado","2017-2018"
"275","PMDB",0.407440513500756,"Liberal / Fundamentalismo adaptado","2017-2018"
"276","PT",0.615110274902766,"Liberal / Fundamentalismo adaptado","2017-2018"
"277","PT",0.312262158489927,"Liberal / Fundamentalismo adaptado","2017-2018"
"278","PT",0.0686495000334029,"Liberal / Fundamentalismo adaptado","2017-2018"
"279","PSDB",0.292076457834439,"Liberal / Fundamentalismo adaptado","2017-2018"
"280","PT",0.554058836210373,"Liberal / Fundamentalismo adaptado","2017-2018"
"281","PT",0.323838286404842,"Liberal / Fundamentalismo adaptado","2017-2018"
"282","PMDB",0.554362877131834,"Liberal / Fundamentalismo adaptado","2017-2018"
"283","PT",0.0356146859548421,"Liberal / Fundamentalismo adaptado","2017-2018"
"284","PSOL",0.538795976537275,"Liberal / Fundamentalismo adaptado","2017-2018"
"285","PSDB",0.00594757718312644,"Liberal / Fundamentalismo adaptado","2017-2018"
"286","PT",0.0110325036389328,"Liberal / Fundamentalismo adaptado","2017-2018"
"287","PT",0.348106295957325,"Liberal / Fundamentalismo adaptado","2017-2018"
"288","PT",0.186979284216061,"Liberal / Fundamentalismo adaptado","2017-2018"
"289","PT",0.33984777226413,"Liberal / Fundamentalismo adaptado","2017-2018"
"290","PSDB",0.201722184218883,"Liberal / Fundamentalismo adaptado","2017-2018"
"291","PT",0.209527485232879,"Liberal / Fundamentalismo adaptado","2017-2018"
"292","PMDB",0.187812271846194,"Liberal / Fundamentalismo adaptado","2017-2018"
"293","PMDB",0.0628680484765325,"Liberal / Fundamentalismo adaptado","2017-2018"
"294","PT",0.371596376033358,"Liberal / Fundamentalismo adaptado","2017-2018"
"295","PSDB",0.237665081273398,"Liberal / Fundamentalismo adaptado","2017-2018"
"296","PT",0.174630907170609,"Liberal / Fundamentalismo adaptado","2017-2018"
"297","PT",0.630373134575864,"Liberal / Fundamentalismo adaptado","2017-2018"
"298","PT",0.311504894889267,"Liberal / Fundamentalismo adaptado","2017-2018"
"299","PT",0.496441839815903,"Liberal / Fundamentalismo adaptado","2017-2018"
"300","PSOL",0.301922139799219,"Liberal / Fundamentalismo adaptado","2017-2018"
"301","PT",0.615110274902766,"Liberal / Fundamentalismo adaptado","2017-2018"
"302","PT",0.070366721182364,"Liberal / Fundamentalismo adaptado","2017-2018"
"303","PT",0.0110325036389328,"Liberal / Fundamentalismo adaptado","2017-2018"
"304","PT",0.201722184218883,"Liberal / Fundamentalismo adaptado","2017-2018"
"305","PT",0.363077512852135,"Liberal / Fundamentalismo adaptado","2017-2018"
"306","PT",0.223942371745967,"Liberal / Fundamentalismo adaptado","2017-2018"
"307","PT",0.645635994248962,"Liberal / Fundamentalismo adaptado","2017-2018"
"308","PT",0.287054857264933,"Liberal / Fundamentalismo adaptado","2017-2018"
"309","PSOL",0.262773622911275,"Liberal / Fundamentalismo adaptado","2017-2018"
"310","PSDB",0.402124682766258,"Liberal / Fundamentalismo adaptado","2017-2018"
"311","PMDB",0.262773622911275,"Liberal / Fundamentalismo adaptado","2017-2018"
"312","PSDB",0.0800246947293795,"Liberal / Fundamentalismo adaptado","2017-2018"
"313","PT",0.489041926697188,"Liberal / Fundamentalismo adaptado","2017-2018"
"314","PT",0.33984777226413,"Liberal / Fundamentalismo adaptado","2017-2018"
"315","PSOL",0.104592397087918,"Liberal / Fundamentalismo adaptado","2017-2018"
"316","PSOL",0.256133560779924,"Liberal / Fundamentalismo adaptado","2017-2018"
"317","PT",0.186979284216061,"Liberal / Fundamentalismo adaptado","2017-2018"
"318","PT",0.0110325036389328,"Liberal / Fundamentalismo adaptado","2017-2018"
"319","PSDB",0.0652817947265577,"Liberal / Fundamentalismo adaptado","2017-2018"
"320","PT",0.130460789713159,"Liberal / Fundamentalismo adaptado","2017-2018"
